english,japanese
How are you?,元気ですか？
I'm fine,元気です
Thank you,ありがとう
You're welcome,どういたしまして
Excuse me,すみません
I'm sorry,ごめんなさい
Nice to meet you,はじめまして
Good morning,おはようございます
Good night,おやすみなさい
See you later,またね
Take care,気をつけて
Have a good day,良い一日を
What's your name?,お名前は？
My name is,私の名前は〜です
Where are you from?,どこから来ましたか？
I'm from,〜から来ました
How old are you?,何歳ですか？
I'm ~ years old,〜歳です
What time is it?,何時ですか？
It's ~ o'clock,〜時です
How much is this?,これはいくらですか？
That's too expensive,高すぎます
Can I have this?,これをください
Here you are,はい、どうぞ
I don't understand,わかりません
Could you repeat that?,もう一度言ってください
Please speak slowly,ゆっくり話してください
Do you speak English?,英語を話せますか？
A little bit,少しだけ
I can't speak English,英語が話せません
Where is the bathroom?,トイレはどこですか？
Turn right,右に曲がって
Turn left,左に曲がって
Go straight,まっすぐ行って
It's over there,あそこです
I'm hungry,お腹が空いた
I'm thirsty,喉が渇いた
I'm tired,疲れた
I'm sleepy,眠い
I'm happy,嬉しい
I'm sad,悲しい
I'm angry,怒っている
I'm scared,怖い
I like this,これが好き
I don't like this,これが嫌い
It's delicious,美味しい
It's not good,美味しくない
Can you help me?,助けてくれますか？
Of course,もちろん
No problem,問題ありません
I need help,助けが必要です
What's wrong?,どうしたの？
Are you okay?,大丈夫？
I'm okay,大丈夫です
Be careful,気をつけて
Watch out,危ない
Let's go,行きましょう
Wait a moment,ちょっと待って
Come here,こっちに来て
I have to go,行かなきゃ
See you tomorrow,また明日
Have fun,楽しんで
Good luck,頑張って
Congratulations,おめでとう
Happy birthday,誕生日おめでとう
Get well soon,お大事に
I miss you,会いたい
I love you,愛してる
What's this?,これは何？
What's that?,あれは何？
I don't know,知らない
I think so,そう思う
I don't think so,そうは思わない
Maybe,たぶん
Really?,本当？
Are you sure?,確か？
That's right,その通り
That's wrong,それは違う
I agree,賛成
I disagree,反対
It doesn't matter,関係ない
Never mind,気にしないで
That's okay,大丈夫だよ
It's not a big deal,大したことない
Let me see,ちょっと見せて
Let me think,考えさせて
Give me a second,ちょっと待って
Just a minute,ちょっと待って
Right now,今すぐ
Not yet,まだです
Almost done,もうすぐ終わる
All done,全部終わった
What do you want?,何が欲しい？
I want this,これが欲しい
Do you want some?,少し欲しい？
Yes please,はい、お願いします
No thank you,いいえ、結構です
